forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
144,0.06960399265479991,0.78,0.206,0.74,0.11,0.15
144,0.07003528825385248,0.26,0.206,0.52,0.15,0.33
144,0.07043937808356202,0.42,0.206,0.78,0.11,0.11
144,0.07220247807829439,0.64,0.206,0.06,0.25,0.69
144,0.07103766601703329,0.22,0.206,0.88,0.09,0.03
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
142,0.039658221748293594,0.48,0.225,0.86,0.07,0.07
142,0.039554523866529925,0.32,0.225,0.78,0.09,0.13
142,0.03865915360492668,0.56,0.225,0.56,0.13,0.31
142,0.03954756715901008,0.56,0.225,0.48,0.15,0.37
142,0.03994406298385241,0.66,0.225,0.64,0.11,0.25
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
245,0.05320249487574126,0.14,0.23,0.06,0.27,0.67
245,0.04970565481806747,0.38,0.23,0.22,0.23,0.55
245,0.0494157161573292,0.8,0.23,0.3,0.21,0.49
245,0.05301525536588113,0.68,0.23,0.54,0.15,0.31
245,0.05079567454834475,0.56,0.23,0.46,0.17,0.37
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
246,0.057714744485376356,0.12,0.222,0.48,0.17,0.35
246,0.0580229864746505,0.16,0.222,0.58,0.15,0.27
246,0.05678162342039561,0.88,0.222,0.48,0.17,0.35
246,0.05447415577986732,0.1,0.222,0.48,0.17,0.35
246,0.05675812001884056,0.54,0.222,0.38,0.19,0.43
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
143,0.03278393422547263,0.58,0.236,0.26,0.21,0.53
143,0.030738836790292195,0.54,0.236,0,0.27,0.73
143,0.03386553705143331,0.06,0.236,0.58,0.15,0.27
143,0.030169189293059662,0.4,0.236,0.62,0.13,0.25
143,0.03160007447541146,0.7,0.236,0.44,0.17,0.39
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
56,0.016167238056362904,0.36,0.233,0.3,0.23,0.47
56,0.01960698322597465,0.74,0.233,0.16,0.27,0.57
56,0.01934235702677136,0.86,0.233,0.76,0.13,0.11
56,0.01897160391743444,0.22,0.233,0.4,0.21,0.39
56,0.019710284605437847,0.28,0.233,0.16,0.27,0.57
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
264,0.06057830935747417,0.34,0.215,0.2,0.23,0.57
264,0.0590826973578793,0.86,0.215,0.42,0.19,0.39
264,0.060885420242203336,0.26,0.215,0.78,0.13,0.09
264,0.0593818951466397,0.22,0.215,0.6,0.15,0.25
264,0.060950534437253415,0.82,0.215,0.3,0.21,0.49
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
141,0.021936040625791516,0.26,0.275,0.62,0.15,0.23
141,0.023265688250562806,1,0.275,0.04,0.31,0.65
141,0.022168302362989667,0.44,0.275,0.22,0.25,0.53
141,0.02087940676929933,0.56,0.275,0.6,0.15,0.25
141,0.021628089226324428,0.72,0.275,0.46,0.19,0.35
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
323,0.03361348024373402,0.14,0.264,0.7,0.15,0.15
323,0.031182025603913942,0.36,0.264,0.84,0.11,0.05
323,0.032477340385753145,0.86,0.264,0.46,0.21,0.33
323,0.029962579518771154,0.84,0.264,0.76,0.13,0.11
323,0.03274616179357871,0.1,0.264,0.54,0.19,0.27
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
156,0.024061152369695256,0.12,0.256,0.56,0.15,0.29
156,0.02609073300878424,0.98,0.256,0.54,0.15,0.31
156,0.025201753911820012,0.26,0.256,0.86,0.07,0.07
156,0.02446310674674764,0.74,0.256,0.44,0.17,0.39
156,0.02581888316916948,0.8,0.256,0.68,0.11,0.21
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
140,0.016537051088360635,0.48,0.331,0.52,0.19,0.29
140,0.01671134324320941,0.14,0.331,0.8,0.11,0.09
140,0.01917404883175333,0.92,0.331,0.02,0.35,0.63
140,0.015697782397853056,0.84,0.331,0.9,0.07,0.03
140,0.018502475518498814,0.3,0.331,0.5,0.19,0.31
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
50,0.019304343738864204,0.6,0.233,0.82,0.07,0.11
50,0.0231042935431969,0.76,0.233,0.3,0.19,0.51
50,0.02312231629732293,0.74,0.233,0.66,0.11,0.23
50,0.02058633077874178,0.86,0.233,0.46,0.15,0.39
50,0.019792288190240932,0.5,0.233,0.94,0.05,0.01
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
239,0.04785255190809494,0.6,0.252,0.54,0.17,0.29
239,0.04568813411245717,0.58,0.252,0.68,0.15,0.17
239,0.04473942114157202,0.4,0.252,0.5,0.19,0.31
239,0.045637009291788475,0.48,0.252,0.78,0.13,0.09
239,0.04470229916139514,0.34,0.252,0.72,0.15,0.13
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
284,0.0483090787918244,0.28,0.226,0.48,0.17,0.35
284,0.05079188727002197,0.58,0.226,0.3,0.21,0.49
284,0.04941669155289312,0.76,0.226,0.3,0.21,0.49
284,0.05168496559221599,0.3,0.226,0.48,0.17,0.35
284,0.04908820321459082,0.44,0.226,0.38,0.19,0.43
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
328,0.05676119783781815,0.86,0.253,0.44,0.19,0.37
328,0.059802636962879706,0.84,0.253,0.16,0.27,0.57
328,0.05442422900883814,0.14,0.253,0.9,0.09,0.01
328,0.05466474198510516,0.26,0.253,0.54,0.17,0.29
328,0.05544831321089296,0.78,0.253,0.68,0.13,0.19
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
159,0.0628667413401783,0.78,0.193,0.16,0.21,0.63
159,0.06045441317151505,0.96,0.193,0.68,0.11,0.21
159,0.05830184845577326,0.48,0.193,0.52,0.15,0.33
159,0.060408171566800006,0.48,0.193,0.34,0.17,0.49
159,0.0617311140546134,0.84,0.193,0.4,0.17,0.43
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
324,0.06044121856839887,0.84,0.262,0.48,0.21,0.31
324,0.06063716151048386,0.56,0.262,0.78,0.17,0.05
324,0.061478121644597025,0.8,0.262,0.86,0.13,0.01
324,0.062320555179882484,0.26,0.262,0.44,0.23,0.33
324,0.06178046624311121,0.46,0.262,0.4,0.25,0.35
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
353,0.05581239620983243,0.32,0.205,0.44,0.17,0.39
353,0.05736472702555377,0.3,0.205,0.04,0.25,0.71
353,0.05460327010021303,0.9,0.205,0.62,0.13,0.25
353,0.056780164958909994,0.8,0.205,0.34,0.19,0.47
353,0.05605853275947479,0.84,0.205,0.1,0.25,0.65
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
267,0.04899507105976746,0.3,0.22,0.64,0.11,0.25
267,0.04360047240125183,0.3,0.22,0.56,0.13,0.31
267,0.04333924489084562,0.44,0.22,0.44,0.15,0.41
267,0.04872032778939678,0.48,0.22,0.68,0.11,0.21
267,0.04787150237716327,0.76,0.22,0.52,0.13,0.35
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
145,0.034283933090100686,0.12,0.243,0.38,0.21,0.41
145,0.03584314394881987,0.76,0.243,0.68,0.13,0.19
145,0.03828729394792131,0.68,0.243,0.8,0.11,0.09
145,0.039592125291293905,0.18,0.243,0.44,0.19,0.37
145,0.04038564984778423,0.4,0.243,0.02,0.29,0.69
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
327,0.066560361968721,0.76,0.226,0.5,0.21,0.29
327,0.0736006963013807,0.4,0.226,0.7,0.13,0.17
327,0.06382918400914138,0.58,0.226,0.52,0.17,0.31
327,0.06354052113407378,0.72,0.226,0.48,0.19,0.33
327,0.06502792715492892,0.36,0.226,0.86,0.09,0.05
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
276,0.032627587919479305,0.5,0.294,0.52,0.19,0.29
276,0.03524343407002842,0.32,0.294,0.28,0.27,0.45
276,0.03747938436104041,0.36,0.294,0.76,0.13,0.11
276,0.03601606344493856,0.46,0.294,0.42,0.23,0.35
276,0.037564754562780654,0.5,0.294,0.6,0.17,0.23
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
44,0.06277853203121136,0.5,0.193,0.48,0.15,0.37
44,0.06886968773502458,0.68,0.193,0.42,0.17,0.41
44,0.06511003801960416,0.34,0.193,0.62,0.13,0.25
44,0.06472616486629516,0.82,0.193,0.6,0.13,0.27
44,0.06933038596088427,0.88,0.193,0.54,0.13,0.33
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
243,0.028235379800369637,0.56,0.289,0.48,0.17,0.35
243,0.03088000253347261,0.56,0.289,0.6,0.13,0.27
243,0.025183761849395025,0.4,0.289,0.58,0.15,0.27
243,0.02983438123973614,0.06,0.289,0.52,0.17,0.31
243,0.028482425429252712,0.18,0.289,0.3,0.21,0.49
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
256,0.06221116953978885,0.46,0.241,0.1,0.31,0.59
256,0.06042912107788785,0.22,0.241,0.32,0.23,0.45
256,0.05681329415721055,0.52,0.241,0.84,0.11,0.05
256,0.05906480998563464,0.44,0.241,0.48,0.19,0.33
256,0.06349569752769643,0.82,0.241,0.28,0.25,0.47
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
413,0.049087653884459535,0.4,0.223,0.76,0.11,0.13
413,0.047811964241056326,0.96,0.223,0.34,0.21,0.45
413,0.04778454421003778,0.82,0.223,0.74,0.11,0.15
413,0.04844902473929547,0.66,0.223,0.64,0.13,0.23
413,0.04889930464687271,0.72,0.223,0.18,0.25,0.57
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
405,0.05828992094337286,0.38,0.212,0.38,0.19,0.43
405,0.06173042928732205,0.26,0.212,0.62,0.15,0.23
405,0.057193518239239224,0.7,0.212,0.7,0.13,0.17
405,0.05977724390266059,0.22,0.212,0.64,0.15,0.21
405,0.05665543245882576,0.64,0.212,0.86,0.11,0.03
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
292,0.03515024511353327,0.92,0.235,0.52,0.15,0.33
292,0.0308873798807853,0.46,0.235,0.86,0.07,0.07
292,0.03735195349571847,0.16,0.235,0.24,0.21,0.55
292,0.031220852493060038,0.56,0.235,0.56,0.13,0.31
292,0.03772367090904828,0.78,0.235,0.48,0.15,0.37
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
418,0.0462264502542232,0.64,0.2,0.54,0.13,0.33
418,0.043261357181404204,0.32,0.2,0.12,0.25,0.63
418,0.046459993244511825,0.58,0.2,0.8,0.09,0.11
418,0.04050155379168462,0.62,0.2,0.64,0.13,0.23
418,0.04587389668348634,0.28,0.2,0.74,0.11,0.15
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
282,0.04824503067082965,0.76,0.219,0.46,0.19,0.35
282,0.04889057235956466,0.44,0.219,0.52,0.17,0.31
282,0.047804142383826034,1,0.219,0.32,0.23,0.45
282,0.05021300273736322,0.96,0.219,0.42,0.21,0.37
282,0.04958846302299315,0.42,0.219,0.88,0.09,0.03
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
126,0.030689609783188222,0.62,0.331,0.56,0.17,0.27
126,0.031790520729782445,0.46,0.331,0.38,0.23,0.39
126,0.0336498264721227,0.42,0.331,0.46,0.19,0.35
126,0.030424637150913685,0.56,0.331,0.88,0.07,0.05
126,0.03130349466539071,0.46,0.331,0.62,0.17,0.21
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
412,0.03765035869043031,0.6,0.242,0.44,0.19,0.37
412,0.03617229604422311,0.22,0.242,0.86,0.09,0.05
412,0.03640710807971711,0.28,0.242,0.68,0.13,0.19
412,0.041878447225562394,0.46,0.242,0.46,0.19,0.35
412,0.04357757406945385,0.76,0.242,0.38,0.21,0.41
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
250,0.03069273789780962,0.34,0.241,0.64,0.13,0.23
250,0.03443894147185402,0.6,0.241,0.4,0.19,0.41
250,0.03522236194816429,0.9,0.241,0.32,0.21,0.47
250,0.03163192275331413,0.68,0.241,0.9,0.07,0.03
250,0.03262304788867372,0.12,0.241,0.58,0.17,0.25
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
419,0.0815786472973113,0.24,0.191,0.78,0.11,0.11
419,0.07521677340142682,0.68,0.191,0.86,0.09,0.05
419,0.08625512157835363,0.48,0.191,0.3,0.17,0.53
419,0.08576471669663416,0.16,0.191,0.86,0.11,0.03
419,0.07742340417345052,0.68,0.191,0.54,0.15,0.31
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
346,0.03431838403353652,0.56,0.246,0.48,0.21,0.31
346,0.038147903504968425,0.6,0.246,0.52,0.19,0.29
346,0.03714274631861368,0.3,0.246,0.6,0.21,0.19
346,0.03597905631333903,0.64,0.246,0.44,0.23,0.33
346,0.036944800690682005,0.82,0.246,0.46,0.21,0.33
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
197,0.04375531458860623,0.24,0.36,0.38,0.31,0.31
197,0.04005345069960518,0.52,0.36,0.32,0.33,0.35
197,0.038040580857502546,0.26,0.36,0.48,0.27,0.25
197,0.043094454193924756,0.44,0.36,0.5,0.27,0.23
197,0.040456663395399745,0.96,0.36,0.62,0.19,0.19
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
101,0.0431059383074157,0.44,0.277,0.68,0.13,0.19
101,0.04416854809576632,0.08,0.277,0.3,0.27,0.43
101,0.04417243231274727,0.3,0.277,0.78,0.11,0.11
101,0.048822675085929454,0.98,0.277,0.26,0.25,0.49
101,0.04260418597107072,0.12,0.277,0.72,0.15,0.13
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
407,0.03847156159934523,0.82,0.333,0.66,0.13,0.21
407,0.03980723683511939,0.24,0.333,0.4,0.21,0.39
407,0.041738486815289084,0.98,0.333,0.44,0.19,0.37
407,0.038710315111489556,0.12,0.333,0.68,0.11,0.21
407,0.03949960433448736,0.4,0.333,0.36,0.23,0.41
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
320,0.053537312708223636,0.26,0.249,0.76,0.11,0.13
320,0.05023133658280794,0.7,0.249,0.2,0.23,0.57
320,0.04917382193870263,0.3,0.249,0.8,0.11,0.09
320,0.055201812396146674,0.68,0.249,0.38,0.19,0.43
320,0.05156517633230604,0.16,0.249,0.56,0.15,0.29
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
270,0.03739865829454092,0.36,0.255,0.62,0.17,0.21
270,0.03897733787937327,0.92,0.255,0.36,0.23,0.41
270,0.03645822467075889,0.56,0.255,0.68,0.15,0.17
270,0.03743205698825637,0.26,0.255,0.56,0.17,0.27
270,0.035971003008633116,0.2,0.255,0.32,0.27,0.41
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
278,0.042647680860114154,0.34,0.192,0.32,0.19,0.49
278,0.039987531013061,0.38,0.192,0.48,0.13,0.39
278,0.04001073725285167,0.82,0.192,0.94,0.05,0.01
278,0.044259551370833684,0.22,0.192,0.76,0.13,0.11
278,0.04326487120624417,0.92,0.192,0.2,0.21,0.59
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
347,0.04934121982244643,0.34,0.235,0.42,0.21,0.37
347,0.05045154561752476,0.84,0.235,0.74,0.11,0.15
347,0.047326592440531695,1,0.235,0.52,0.19,0.29
347,0.05127009040995527,0.88,0.235,0.78,0.11,0.11
347,0.049379258641280094,0.3,0.235,0.46,0.19,0.35
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
283,0.04377326842771908,0.38,0.271,0.56,0.17,0.27
283,0.04028579003273227,0.4,0.271,0.44,0.21,0.35
283,0.04190460819072141,0.64,0.271,0.64,0.15,0.21
283,0.042932876211292006,0.34,0.271,0.68,0.15,0.17
283,0.04556325472003615,0.38,0.271,0.38,0.23,0.39
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
242,0.041662932434429714,0.76,0.329,0.3,0.27,0.43
242,0.039645838526625385,0.66,0.329,0.72,0.11,0.17
242,0.035990339991070756,0.2,0.329,0.6,0.15,0.25
242,0.04180518212303669,0.14,0.329,0.38,0.25,0.37
242,0.04322725356151123,0.38,0.329,0.56,0.17,0.27
forum,distance,USERVIEWGEOMETRICVALUEP,newThreadProb,filterShowAll,filterShowWithNoReply,filterShowHasReply
244,0.048712597965382645,0.62,0.271,0.42,0.23,0.35
244,0.046613111083609514,0.94,0.271,0.46,0.25,0.29
244,0.047748253775777384,0.82,0.271,0.22,0.29,0.49
244,0.04541692767504842,0.9,0.271,0.52,0.21,0.27
244,0.04535270217760617,0.62,0.271,0.38,0.27,0.35
